index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
45,46.125 to 46.58333333,13,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
46,47.0 to 47.75,4,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]",3,gMinor,Piano Sonata K330 i C major.mid by Mozart.csv
47,48.0 to 48.75,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
48,49.0 to 49.75,4,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
49,50.0 to 50.95833333,8,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",7,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
50,51.125 to 51.625,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
51,52.0 to 52.875,2,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]",4,b-Major,Piano Sonata K330 i C major.mid by Mozart.csv
52,53.25 to 53.875,19,"[0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0]",1,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
53,54.0 to 54.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
54,55.0 to 55.75,8,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",7,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
55,56.0 to 56.75,8,"[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",8,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
56,57.0 to 57.5,10,"[0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
57,58.75 to 58.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
58,59.20833333 to 59.75,3,"[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
59,60.125 to 60.5,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
60,61.0 to 61.875,18,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
61,62.0 to 62.66666667,3,"[1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",2,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
62,63.125 to 63.75,6,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
63,64.0 to 64.875,4,"[1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
64,65.0 to 65.79166667,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
65,66.125 to 66.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
66,67.0 to 67.875,9,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0]",9,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
67,68.25 to 68.70833333,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
68,69.0 to 69.875,7,"[1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 0]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
69,70.0 to 70.75,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
70,71.125 to 71.91666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
71,72.125 to 72.75,5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
72,73.0 to 73.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
73,74.25 to 74.75,0,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
74,75.125 to 75.875,6,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
75,76.0 to 76.875,3,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
76,77.0 to 77.75,6,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
77,78.0 to 78.875,4,"[1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
78,79.0 to 79.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
79,80.25 to 80.875,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
80,81.0 to 81.875,7,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1]",9,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
81,82.0 to 82.75,7,"[2, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 1]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
82,83.0 to 83.95833333,7,"[1, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
83,84.0 to 84.875,7,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1]",9,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
84,85.125 to 85.875,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
85,86.0 to 86.83333333,18,"[2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
86,87.0 to 87.70833333,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
87,88.0 to 88.95833333,17,"[1, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
88,89.0 to 89.875,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
89,90.0 to 90.91666667,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
90,91.0 to 91.875,17,"[2, 0, 1, 0, 2, 0, 1, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
91,92.125 to 92.91666667,6,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
92,93.0 to 93.875,18,"[2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
93,94.125 to 94.83333333,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
94,95.0 to 95.875,17,"[1, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
95,96.0 to 96.95833333,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
96,97.0 to 97.91666667,4,"[1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
97,98.0 to 98.75,17,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
98,99.08333333 to 99.875,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",2,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
