index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
52,52.0 to 52.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
53,53.0 to 53.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
54,54.0 to 54.75,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
55,55.0 to 55.5,3,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
56,56.0 to 56.75,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
57,57.0 to 57.75,16,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
58,58.0 to 58.875,0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
59,59.0 to 59.875,11,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,b-Minor,Piano Sonata K279 iii C major.mid by Mozart.csv
60,60.0 to 60.875,16,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,aMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
61,61.0 to 61.75,11,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,b-Minor,Piano Sonata K279 iii C major.mid by Mozart.csv
62,62.0 to 62.75,16,"[0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0]",1,bMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
63,63.0 to 63.5,14,"[0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
64,64.0 to 64.5,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
65,65.0 to 65.5,18,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
66,66.0 to 66.875,17,"[1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
67,67.0 to 67.875,7,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
68,68.0 to 68.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
69,69.0 to 69.875,5,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
70,70.0 to 70.875,18,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
71,71.0 to 71.875,18,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",0,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
72,72.0 to 72.75,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
73,73.0 to 73.75,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
74,74.0 to 74.75,3,"[0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0]",7,e-Major,Piano Sonata K279 iii C major.mid by Mozart.csv
75,75.0 to 75.75,8,"[2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
76,76.0 to 76.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
77,77.0 to 77.75,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
78,78.0 to 78.91666667,1,"[2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
79,79.0 to 79.75,8,"[2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
80,80.0 to 80.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
81,81.0 to 81.875,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
82,82.0 to 82.75,18,"[1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
83,83.0 to 83.75,1,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
84,84.0 to 84.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
85,85.0 to 85.875,1,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
86,86.0 to 86.75,18,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
87,87.0 to 87.5,12,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
88,88.0 to 88.75,18,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
89,89.0 to 89.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
