index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
40,42.0 to 42.75,13,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
41,43.0 to 43.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
42,44.0 to 44.75,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3
43,45.0 to 45.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
44,46.0 to 46.75,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
45,47.0 to 47.75,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
46,48.0 to 48.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
47,49.5 to 49.75,8,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
48,50.0 to 50.75,10,"[0, 0, 3, 0, 3, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
49,51.0 to 51.0,19,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1
50,52.5 to 52.875,2,"[0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
51,53.0 to 53.875,19,"[0, 0, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0]",fMinor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1
52,54.0 to 54.0,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
53,55.5 to 55.75,14,"[0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
54,56.0 to 56.75,19,"[0, 0, 0, 0, 0, 3, 0, 3, 0, 1, 1, 0]",e-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1
55,57.0 to 57.75,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0]",e-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
56,58.0 to 58.75,19,"[0, 0, 0, 0, 0, 3, 0, 3, 0, 1, 1, 0]",e-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1
57,59.0 to 59.75,13,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
58,60.0 to 60.75,18,"[3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
59,61.0 to 61.75,13,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
60,62.0 to 62.75,15,"[3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3
61,63.0 to 63.75,10,"[0, 0, 3, 0, 3, 1, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
62,64.0 to 64.75,15,"[3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3
63,65.0 to 65.75,1,"[0, 0, 0, 0, 3, 0, 3, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16
64,66.0 to 66.0,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
65,67.0 to 67.0,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
66,69.0 to 69.5,5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
67,70.0 to 70.5,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
68,71.0 to 71.5,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
69,72.0 to 72.5,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
70,73.0 to 73.5,10,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
71,74.0 to 74.5,0,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
72,75.0 to 75.75,10,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
73,76.0 to 76.75,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
74,77.0 to 77.875,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
75,78.0 to 78.83333333,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
76,79.0 to 79.75,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
77,80.0 to 80.5,0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
78,81.0 to 81.75,5,"[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
79,82.0 to 82.75,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
80,83.0 to 83.75,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
81,84.0 to 84.75,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
82,85.0 to 85.75,10,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6
83,86.0 to 86.75,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
84,87.0 to 87.75,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
85,88.0 to 88.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18
86,89.0 to 89.75,18,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
87,90.0 to 90.75,0,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
88,91.0 to 91.75,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15
89,92.0 to 92.75,13,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
90,93.0 to 93.5,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
