index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
488,494.0 to 494.0,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,5
489,495.0 to 495.75,16,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
490,496.0 to 496.75,16,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
491,497.0 to 497.75,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
492,498.0 to 498.75,4,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
493,499.0 to 499.75,4,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
494,500.0 to 500.75,10,"[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
495,501.0 to 501.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
496,502.0 to 502.875,8,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,5
497,503.0 to 503.0,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,5
