index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
47,50.0 to 50.5,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5,g#Major,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofG,D-F#A,greenyellow,15
48,51.0 to 51.875,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
49,52.0 to 52.875,12,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
50,53.0 to 53.75,9,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,6-1ofC,A-CF,deepskyblue,7
51,54.0 to 54.875,14,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
52,55.0 to 55.875,5,"[0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Gmaj3rd5th,BD-G,gold,17
53,56.0 to 56.75,14,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
54,57.0 to 57.875,13,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",8,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
55,58.0 to 58.75,16,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,chr,FGAB,mediumpurple,10
56,59.0 to 59.75,13,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",5,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,Cmaj5-1tet,BC-AG,darkviolet,12
57,60.0 to 60.75,14,"[0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
58,61.0 to 61.75,14,"[0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1]",1,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,VofAmin,E-BCD,indigo,19
59,62.0 to 62.75,2,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,2/4ofCmaj,DF,green,4
60,63.0 to 63.875,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
61,64.0 to 64.875,12,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv,1789,AminTriad,ACE,steelblue,14
