index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
62,65.0 to 65.5,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
63,66.0 to 66.75,19,"[0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
64,67.0 to 67.75,15,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
65,68.0 to 68.5,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",3,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
66,69.0 to 69.5,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
67,70.0 to 70.5,17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
68,71.0 to 71.5,9,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
69,72.0 to 72.75,12,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
70,73.0 to 73.75,17,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
71,74.0 to 74.75,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
72,75.0 to 75.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
