index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
137,140.0 to 140.875,6,"[0, 2, 2, 0, 2, 2, 0, 2, 1, 2, 0, 0]",3,aMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
138,141.0 to 141.0,17,"[0, 2, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0]",2,aMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
139,142.0 to 142.875,18,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1]",3,fMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
140,143.0 to 143.875,18,"[2, 0, 1, 0, 2, 2, 0, 1, 0, 2, 0, 0]",3,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
141,144.0 to 144.875,15,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
142,145.0 to 145.875,15,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1]",0,cMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
143,146.0 to 146.875,6,"[1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2]",9,b-Major,Piano Sonata K332 ii Bb major.mid by Mozart.csv
144,147.0 to 147.75,13,"[3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
145,148.0 to 148.875,0,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0]",6,cMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
146,149.0 to 149.875,2,"[2, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0]",3,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
147,150.0 to 150.875,6,"[0, 1, 2, 0, 1, 2, 0, 1, 0, 1, 0, 0]",3,fMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
148,151.0 to 151.75,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
149,152.0 to 152.875,13,"[2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 1]",0,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
