index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
47,50.0 to 50.0,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
48,51.5 to 51.75,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
49,52.0 to 52.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
50,53.0 to 53.75,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
51,54.0 to 54.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
52,55.0 to 55.875,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
53,56.0 to 56.375,6,"[0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2]",9,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
54,58.0 to 58.875,6,"[0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 1]",9,b-Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
55,59.0 to 59.75,2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
56,60.0 to 60.75,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
57,61.0 to 61.75,3,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",8,c#Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
58,62.0 to 62.75,7,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
59,63.0 to 63.75,6,"[0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0]",9,c#Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
60,64.0 to 64.0,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
61,65.0 to 65.0,8,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
62,66.5 to 66.5,9,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
63,67.0 to 67.625,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
64,68.0 to 68.75,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
65,69.0 to 69.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",8,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
66,70.0 to 70.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",8,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
67,71.0 to 71.625,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
68,72.0 to 72.75,4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
69,73.0 to 73.875,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
70,74.0 to 74.875,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
71,75.0 to 75.625,5,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",2,fMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
72,76.0 to 76.75,9,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
73,77.0 to 77.875,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
74,78.0 to 78.75,8,"[1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1]",6,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
75,79.0 to 79.875,2,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
