index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
87,88.0 to 88.875,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
88,89.0 to 89.91666667,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
89,90.0 to 90.875,19,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 2]",9,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
90,91.0 to 91.875,15,"[2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",4,cMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
91,92.0 to 92.875,5,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]",0,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
92,93.0 to 93.875,2,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 1]",0,cMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
93,94.0 to 94.875,16,"[0, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 1]",3,gMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
94,95.0 to 95.875,16,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
95,96.0 to 96.875,15,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
96,97.0 to 97.91666667,19,"[1, 0, 3, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
97,98.0 to 98.33333333,10,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
98,99.0 to 99.75,5,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
99,100.0 to 100.625,8,"[0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 1]",5,gMinor,Piano Sonata K576 iii D major.mid by Mozart.csv
100,101.0 to 101.625,15,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
101,102.0 to 102.875,1,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
102,103.0 to 103.625,12,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
103,104.0 to 104.75,19,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
104,105.0 to 105.75,15,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
105,106.0 to 106.5,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
106,107.0 to 107.875,7,"[1, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
107,108.0 to 108.875,5,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
108,109.0 to 109.875,15,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1]",5,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
109,110.0 to 110.875,1,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
110,111.0 to 111.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
111,112.0 to 112.75,0,"[3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",4,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
112,113.0 to 113.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
113,114.0 to 114.875,1,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
114,115.0 to 115.875,19,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
115,116.0 to 116.875,7,"[2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
116,117.0 to 117.9166667,7,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
117,118.0 to 118.875,19,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
118,119.0 to 119.875,19,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
119,120.0 to 120.875,13,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
120,121.0 to 121.875,13,"[2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
121,122.0 to 122.9166667,19,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
122,123.0 to 123.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
123,124.0 to 124.875,12,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
124,125.0 to 125.875,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
125,126.0 to 126.875,16,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
126,127.0 to 127.875,15,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,eMajor,Piano Sonata K576 iii D major.mid by Mozart.csv
