index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
114,115.125 to 115.875,15,"[1, 0, 1, 0, 2, 0, 0, 0, 1, 2, 0, 2]",5,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
115,116.0 to 116.9166667,15,"[1, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 2]",5,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
116,117.125 to 117.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
117,118.0 to 118.875,15,"[1, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 2]",5,eMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
118,119.0 to 119.875,2,"[2, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 1]",9,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
119,120.0 to 120.875,18,"[1, 0, 2, 0, 0, 2, 0, 1, 0, 2, 0, 1]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
120,121.125 to 121.125,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
121,123.6666667 to 123.6666667,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
122,124.25 to 124.6666667,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
123,125.25 to 125.75,18,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
124,126.25 to 126.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
125,127.25 to 127.75,15,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
126,128.125 to 128.875,2,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",4,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
127,129.0 to 129.875,15,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
128,130.0 to 130.875,6,"[1, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 1]",7,b-Major,Piano Sonata K545 iii C major.mid by Mozart.csv
129,131.0 to 131.5,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]",3,gMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
130,132.0 to 132.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
