index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
388,398.0 to 398.625,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",5,fMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
389,399.0 to 399.5,2,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
390,400.0 to 400.5,16,"[0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
391,401.0 to 401.625,12,"[1, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
392,402.0 to 402.625,1,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
393,403.0 to 403.625,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
394,404.0 to 404.5,12,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
395,405.0 to 405.625,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
396,406.0 to 406.625,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
397,407.0 to 407.5,12,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
398,408.0 to 408.5,12,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
399,409.0 to 409.5,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
400,410.0 to 410.5,1,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 3]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
401,411.0 to 411.5,12,"[1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
402,412.0 to 412.5,1,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
403,413.0 to 413.5,12,"[1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
404,414.0 to 414.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
405,416.0 to 416.0,1,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
406,417.75 to 417.75,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
