index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
277,278.0 to 278.5,1,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
278,279.0 to 279.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
279,280.0 to 280.875,6,"[1, 0, 2, 0, 1, 2, 0, 1, 1, 1, 0, 0]",4,fMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
280,281.0 to 281.875,8,"[1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
281,282.0 to 282.0,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",8,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
282,283.0 to 283.5,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
283,284.0 to 284.75,2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1]",2,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
284,285.0 to 285.75,2,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
285,286.0 to 286.875,15,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
286,287.0 to 287.75,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
287,288.0 to 288.75,2,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1]",2,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
288,289.0 to 289.75,2,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
289,290.0 to 290.875,15,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
290,291.0 to 291.75,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
291,292.0 to 292.75,17,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
292,293.0 to 293.75,5,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
293,294.0 to 294.75,10,"[1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0]",3,e-Minor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
294,295.0 to 295.75,15,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
295,296.0 to 296.75,18,"[0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",4,fMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
