index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
99,99.0 to 99.75,1,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
100,100.0 to 100.0,4,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
101,101.0 to 101.5,13,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
102,102.0 to 102.0,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
103,103.0 to 103.75,12,"[2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
104,104.0 to 104.75,5,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
105,105.0 to 105.75,0,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
106,106.0 to 106.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
107,107.0 to 107.75,7,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
108,108.0 to 108.75,6,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
109,109.0 to 109.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
110,110.0 to 110.0,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
111,111.5 to 111.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
112,112.0 to 112.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
113,113.0 to 113.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
114,114.0 to 114.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
115,115.0 to 115.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
116,116.0 to 116.875,15,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
117,117.0 to 117.875,19,"[1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0]",8,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
118,118.0 to 118.75,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
119,119.0 to 119.75,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]",7,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
120,120.0 to 120.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
121,121.0 to 121.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
122,122.0 to 122.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
123,123.0 to 123.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
124,124.0 to 124.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
