index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
67,68.0 to 68.75,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1]",4,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
68,69.0 to 69.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
69,70.0 to 70.125,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",4,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
70,71.125 to 71.25,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",4,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
71,72.0 to 72.75,7,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
72,73.0 to 73.75,7,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
73,74.0 to 74.875,1,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",8,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
74,75.125 to 75.625,0,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
75,76.0 to 76.75,3,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
76,77.0 to 77.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
77,78.0 to 78.75,1,"[1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
78,79.0 to 79.75,1,"[1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
79,80.0 to 80.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
80,81.0 to 81.75,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
81,82.0 to 82.75,1,"[1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
82,83.0 to 83.75,1,"[1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
83,84.0 to 84.75,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
84,85.0 to 85.875,1,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
85,86.0 to 86.75,9,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0]",8,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
86,87.0 to 87.875,1,"[1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
87,88.0 to 88.75,3,"[1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
88,89.0 to 89.875,14,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1]",5,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
89,90.0 to 90.75,12,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,cMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
