index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
38,38.0 to 38.66666667,9,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
39,39.0 to 39.75,13,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",9,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
40,40.0 to 40.66666667,0,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",6,c#Major,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
41,41.0 to 41.66666667,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
42,42.0 to 42.0,16,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",8,aMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10
43,43.0 to 43.75,2,"[0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0]",4,fMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
44,44.0 to 44.875,13,"[2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",7,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
45,45.0 to 45.875,18,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",9,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
46,46.0 to 46.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
47,47.0 to 47.91666667,1,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
48,48.0 to 48.75,13,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",9,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
49,49.0 to 49.66666667,0,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",6,c#Major,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
50,50.0 to 50.66666667,14,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
51,51.0 to 51.75,11,"[0, 2, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",8,f#Major,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0
52,52.0 to 52.75,0,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
53,53.0 to 53.75,1,"[1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1]",0,bMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
54,54.0 to 54.75,3,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",1,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
55,55.0 to 55.75,13,"[1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1]",6,g#Major,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
56,56.0 to 56.75,12,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 1]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
57,57.0 to 57.75,12,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",7,cMinor,Piano Sonata K279 ii F major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
