index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
43,132.0 to 134.0,"[0, 0, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
44,135.0 to 137.5,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
45,138.0 to 140.5,"[1, 1, 2, 0, 1, 0, 1, 0, 0, 2, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
46,141.0 to 143.875,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]",1,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
47,144.0 to 146.5,"[0, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 1]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
48,147.0 to 149.66666669999995,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2]",3,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
49,150.0 to 152.66666669999995,"[2, 1, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
50,153.0 to 155.875,"[0, 0, 2, 0, 0, 0, 1, 2, 0, 1, 0, 3]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
51,156.0 to 158.0,"[0, 0, 1, 0, 0, 0, 1, 3, 0, 1, 1, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
52,159.0 to 161.5,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
53,162.0 to 164.5,"[1, 1, 2, 0, 1, 1, 1, 0, 0, 2, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
54,165.0 to 167.875,"[3, 0, 2, 0, 0, 0, 1, 1, 0, 2, 1, 1]",6,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
55,168.0 to 170.875,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
56,171.0 to 173.875,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
