index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
88,92.0 to 92.875,11,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0]",b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
89,93.0 to 93.875,11,"[0, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
90,94.0 to 94.66666667,11,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
91,95.0 to 95.0,0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,VofG,D-F#A,greenyellow,15,2
92,96.0 to 96.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17,2
93,97.0 to 97.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
94,98.0 to 98.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
95,99.0 to 99.875,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
96,100.0 to 100.75,6,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
97,101.0 to 101.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
98,102.0 to 102.75,7,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
99,103.0 to 103.875,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
100,104.0 to 104.75,6,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
101,105.0 to 105.875,7,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
102,106.0 to 106.75,6,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
103,107.0 to 107.875,6,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
104,108.0 to 108.875,8,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2,2
105,109.0 to 109.875,12,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14,2
106,110.0 to 110.875,6,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
107,111.0 to 111.875,7,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
108,112.0 to 112.75,13,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2]",gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,2
109,113.0 to 113.875,18,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",dMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11,2
110,114.0 to 114.875,3,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9,2
111,115.0 to 115.875,5,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17,2
112,116.0 to 116.875,13,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",eMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,2
113,117.0 to 117.875,11,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
114,118.0 to 118.75,18,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11,2
115,119.0 to 119.875,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
116,120.0 to 120.75,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9,2
117,121.0 to 121.75,7,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V7ofG,DF#AC,lime,18,2
118,122.0 to 122.875,6,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,GmajTriad,GBD,orange,13,2
119,123.0 to 123.875,10,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6,2
120,124.0 to 124.75,11,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
121,125.0 to 125.625,11,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,iv_ofDmin,GBb-C#D,yellow,0,2
122,126.0 to 126.6666667,14,"[0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]",aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19,2
123,127.0 to 127.5,16,"[0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10,3
124,128.0 to 128.6666667,1,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16,3
125,129.0 to 129.625,2,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4,3
126,130.0 to 130.75,12,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14,3
