index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
32,34.0 to 34.625,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7,1
33,35.0 to 35.75,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7,1
34,36.0 to 36.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
35,37.0 to 37.625,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
36,38.0 to 38.75,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
37,39.0 to 39.5,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4,1
38,40.0 to 40.5,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8,1
39,41.0 to 41.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17,1
40,42.0 to 42.75,13,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
41,43.0 to 43.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6,1
42,44.0 to 44.75,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3,1
43,45.0 to 45.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10,1
44,46.0 to 46.75,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5,1
45,47.0 to 47.75,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4,1
46,48.0 to 48.0,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2,1
47,49.5 to 49.75,8,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2,1
48,50.0 to 50.75,10,"[0, 0, 3, 0, 3, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6,1
49,51.0 to 51.0,19,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1,1
50,52.5 to 52.875,2,"[0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4,1
51,53.0 to 53.875,19,"[0, 0, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0]",fMinor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1,1
52,54.0 to 54.0,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9,1
53,55.5 to 55.75,14,"[0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19,1
54,56.0 to 56.75,19,"[0, 0, 0, 0, 0, 3, 0, 3, 0, 1, 1, 0]",e-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1,1
55,57.0 to 57.75,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 0]",e-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9,1
56,58.0 to 58.75,19,"[0, 0, 0, 0, 0, 3, 0, 3, 0, 1, 1, 0]",e-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,4ofC,F-AC,cyan,1,1
57,59.0 to 59.75,13,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
58,60.0 to 60.75,18,"[3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11,1
59,61.0 to 61.75,13,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12,1
60,62.0 to 62.75,15,"[3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3,1
61,63.0 to 63.75,10,"[0, 0, 3, 0, 3, 1, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj2-5tet,DEFG,violet,6,1
62,64.0 to 64.75,15,"[3, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj1-4tet,C-DEF,blue,3,1
63,65.0 to 65.75,1,"[0, 0, 0, 0, 3, 0, 3, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-IV/vii,F#G-ACE,salmon,16,1
64,66.0 to 66.0,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9,1
