CentroidLabelIndex_entireUnits,filename,counts
9,Piano Sonata K494 ii Bb major.mid by Mozart.csv,26
9,Piano Sonata K545 i C major.mid by Mozart.csv,15
9,Piano Sonata K545 iii C major.mid by Mozart.csv,13
9,Piano Sonata K570 i Bb major.mid by Mozart.csv,62
9,Piano Sonata K570 ii Eb major.mid by Mozart.csv,18
9,Piano Sonata K576 ii A major.mid by Mozart.csv,6
9,Piano Sonata K576 iii D major.mid by Mozart.csv,18
10,Piano Sonata K279 i C major.mid by Mozart.csv,33
10,Piano Sonata K279 ii F major.mid by Mozart.csv,14
10,Piano Sonata K279 iii C major.mid by Mozart.csv,10
10,Piano Sonata K280 i F major.mid by Mozart.csv,18
10,Piano Sonata K282 i Eb major.mid by Mozart.csv,6
10,Piano Sonata K283 i G major.mid by Mozart.csv,27
10,Piano Sonata K284 i D major.mid by Mozart.csv,118
10,Piano Sonata K284 ii A major.mid by Mozart.csv,13
10,Piano Sonata K309 i C major.mid by Mozart.csv,82
10,Piano Sonata K309 ii F major.mid by Mozart.csv,14
10,Piano Sonata K309 iii C major.mid by Mozart.csv,47
10,Piano Sonata K311 i D major.mid by Mozart.csv,9
10,Piano Sonata K311 ii G major.mid by Mozart.csv,11
10,Piano Sonata K330 i C major.mid by Mozart.csv,59
10,Piano Sonata K330 iii C major.mid by Mozart.csv,49
10,Piano Sonata K332 i F major.mid by Mozart.csv,31
10,Piano Sonata K332 ii Bb major.mid by Mozart.csv,9
10,Piano Sonata K333 i Bb major.mid by Mozart.csv,35
10,Piano Sonata K372a i Bb major.mid by Mozart.csv,58
10,Piano Sonata K457 ii Eb major.mid by Mozart.csv,45
10,Piano Sonata K494 ii Bb major.mid by Mozart.csv,19
10,Piano Sonata K545 i C major.mid by Mozart.csv,18
10,Piano Sonata K545 iii C major.mid by Mozart.csv,11
10,Piano Sonata K570 i Bb major.mid by Mozart.csv,31
10,Piano Sonata K570 ii Eb major.mid by Mozart.csv,21
10,Piano Sonata K576 ii A major.mid by Mozart.csv,6
10,Piano Sonata K576 iii D major.mid by Mozart.csv,18
11,Piano Sonata K279 ii F major.mid by Mozart.csv,6
11,Piano Sonata K279 iii C major.mid by Mozart.csv,6
11,Piano Sonata K280 i F major.mid by Mozart.csv,4
11,Piano Sonata K282 i Eb major.mid by Mozart.csv,10
11,Piano Sonata K284 i D major.mid by Mozart.csv,22
11,Piano Sonata K284 ii A major.mid by Mozart.csv,1
11,Piano Sonata K309 i C major.mid by Mozart.csv,14
11,Piano Sonata K309 iii C major.mid by Mozart.csv,7
11,Piano Sonata K311 i D major.mid by Mozart.csv,2
11,Piano Sonata K311 ii G major.mid by Mozart.csv,3
11,Piano Sonata K330 i C major.mid by Mozart.csv,9
11,Piano Sonata K330 iii C major.mid by Mozart.csv,8
11,Piano Sonata K332 i F major.mid by Mozart.csv,27
11,Piano Sonata K332 ii Bb major.mid by Mozart.csv,4
11,Piano Sonata K333 i Bb major.mid by Mozart.csv,5
11,Piano Sonata K372a i Bb major.mid by Mozart.csv,8
11,Piano Sonata K457 ii Eb major.mid by Mozart.csv,307
11,Piano Sonata K494 ii Bb major.mid by Mozart.csv,19
11,Piano Sonata K570 i Bb major.mid by Mozart.csv,19
11,Piano Sonata K570 ii Eb major.mid by Mozart.csv,4
11,Piano Sonata K576 ii A major.mid by Mozart.csv,4
11,Piano Sonata K576 iii D major.mid by Mozart.csv,10
12,Piano Sonata K279 i C major.mid by Mozart.csv,16
12,Piano Sonata K279 ii F major.mid by Mozart.csv,14
12,Piano Sonata K279 iii C major.mid by Mozart.csv,30
12,Piano Sonata K280 i F major.mid by Mozart.csv,12
12,Piano Sonata K282 i Eb major.mid by Mozart.csv,2
12,Piano Sonata K283 i G major.mid by Mozart.csv,23
12,Piano Sonata K284 i D major.mid by Mozart.csv,42
12,Piano Sonata K284 ii A major.mid by Mozart.csv,7
12,Piano Sonata K309 i C major.mid by Mozart.csv,88
12,Piano Sonata K309 ii F major.mid by Mozart.csv,5
12,Piano Sonata K309 iii C major.mid by Mozart.csv,15
12,Piano Sonata K311 i D major.mid by Mozart.csv,72
12,Piano Sonata K311 ii G major.mid by Mozart.csv,50
12,Piano Sonata K330 i C major.mid by Mozart.csv,29
12,Piano Sonata K330 iii C major.mid by Mozart.csv,27
12,Piano Sonata K332 i F major.mid by Mozart.csv,60
12,Piano Sonata K332 ii Bb major.mid by Mozart.csv,4
12,Piano Sonata K333 i Bb major.mid by Mozart.csv,35
12,Piano Sonata K372a i Bb major.mid by Mozart.csv,54
12,Piano Sonata K457 ii Eb major.mid by Mozart.csv,17
12,Piano Sonata K494 ii Bb major.mid by Mozart.csv,11
12,Piano Sonata K545 i C major.mid by Mozart.csv,12
12,Piano Sonata K545 iii C major.mid by Mozart.csv,1
