index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
59,63.0 to 63.875,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
60,64.0 to 64.75,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
61,65.0 to 65.625,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
62,66.0 to 66.625,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
63,67.0 to 67.66666667,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",8,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
64,68.0 to 68.75,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
65,69.0 to 69.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
66,70.0 to 70.5,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
67,71.0 to 71.75,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1]",2,fMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
68,72.0 to 72.75,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
69,73.0 to 73.875,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
70,74.0 to 74.75,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
71,75.0 to 75.875,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
72,76.0 to 76.75,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
73,77.0 to 77.75,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
74,78.0 to 78.75,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
75,79.0 to 79.75,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
76,80.0 to 80.875,"[1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
77,81.0 to 81.75,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
78,82.0 to 82.75,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv
79,83.0 to 83.75,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv
80,84.0 to 84.875,"[2, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
81,85.0 to 85.75,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
82,86.0 to 86.875,"[2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]",0,e-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
83,87.0 to 87.75,"[1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",0,e-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
84,88.0 to 88.75,"[1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
85,89.0 to 89.75,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
86,90.0 to 90.75,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
87,91.0 to 91.75,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
88,92.0 to 92.875,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0]",3,b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
89,93.0 to 93.875,"[0, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
90,94.0 to 94.66666667,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,b-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
91,95.0 to 95.0,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
92,96.0 to 96.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
93,97.0 to 97.75,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
94,98.0 to 98.75,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
95,99.0 to 99.875,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
96,100.0 to 100.75,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
97,101.0 to 101.75,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
98,102.0 to 102.75,"[2, 0, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
99,103.0 to 103.875,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
100,104.0 to 104.75,"[0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
101,105.0 to 105.875,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
102,106.0 to 106.75,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
103,107.0 to 107.875,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 3]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
104,108.0 to 108.875,"[3, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",7,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
105,109.0 to 109.875,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",9,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
106,110.0 to 110.875,"[0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 2]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
107,111.0 to 111.875,"[2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
108,112.0 to 112.75,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2]",4,gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
109,113.0 to 113.875,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",8,dMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
110,114.0 to 114.875,"[0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
111,115.0 to 115.875,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
112,116.0 to 116.875,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",8,eMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
113,117.0 to 117.875,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
114,118.0 to 118.75,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
115,119.0 to 119.875,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
116,120.0 to 120.75,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
117,121.0 to 121.75,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
118,122.0 to 122.875,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 2]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
119,123.0 to 123.875,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
120,124.0 to 124.75,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
121,125.0 to 125.625,"[0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
122,126.0 to 126.6666667,"[0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]",1,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
123,127.0 to 127.5,"[0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
124,128.0 to 128.6666667,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
125,129.0 to 129.625,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
126,130.0 to 130.75,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",8,fMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
127,131.0 to 131.75,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",8,g#Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
128,132.0 to 132.75,"[0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1]",8,gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
129,133.0 to 133.75,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",3,c#Major,Piano Sonata K282 i Eb major.mid by Mozart.csv
