index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
392,434.375 to 434.45833330000005,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",2,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
393,435.375 to 435.5,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
394,436.5 to 436.625,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
395,437.0 to 437.375,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
396,438.125 to 438.75,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
397,439.25 to 439.25,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
398,440.0 to 440.875,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",7,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
399,441.0 to 441.875,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
400,442.0 to 442.75,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
401,443.625 to 443.625,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
402,444.0 to 444.75,"[2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
403,445.0 to 445.375,"[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
404,446.25 to 446.75,"[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
405,447.125 to 447.625,"[0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0]",0,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
406,448.0 to 448.875,"[1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
407,449.125 to 449.875,"[0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0]",0,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
408,450.875 to 450.875,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
409,451.125 to 451.875,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
410,452.25 to 452.75,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]",9,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
411,453.4166667 to 453.875,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
412,454.25 to 454.83333330000005,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
413,455.0 to 455.58333330000005,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
414,456.0 to 456.25,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
415,457.0 to 457.875,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]",4,bMinor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
416,458.75 to 458.875,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
417,459.0 to 459.625,"[2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
418,460.5 to 460.625,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",1,bMinor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
419,461.0 to 461.875,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
420,462.25 to 462.75,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
421,463.0 to 463.5,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
422,464.0 to 464.875,"[0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 1, 0]",5,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
423,465.875 to 465.875,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
424,466.375 to 466.75,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",2,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
425,467.625 to 467.875,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3,c#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
426,468.5 to 468.875,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",4,gMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
427,469.0 to 469.75,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",7,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
428,470.0 to 470.875,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",7,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
429,471.125 to 471.875,"[1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",7,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
430,472.6666667 to 472.6666667,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
431,473.2916667 to 473.6666667,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
432,474.2916667 to 474.625,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
433,475.5 to 475.875,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
434,476.125 to 476.875,"[0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0]",0,fMinor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
435,477.0 to 477.875,"[1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0]",7,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
436,478.125 to 478.875,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",7,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
437,479.125 to 479.875,"[2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1,cMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
438,480.75 to 480.75,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
439,481.625 to 481.75,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
440,482.375 to 482.75,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
441,483.4166667 to 483.625,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
442,484.625 to 484.75,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
443,485.0 to 485.9166667,"[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1,fMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
444,486.125 to 486.75,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",2,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
445,487.0 to 487.875,"[1, 0, 1, 2, 0, 1, 0, 1, 0, 1, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
446,488.125 to 488.6666667,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",5,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
447,489.33333330000005 to 489.33333330000005,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",9,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
448,490.0 to 490.5,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",3,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
449,491.08333330000005 to 491.625,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",3,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
450,492.5 to 492.6666667,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",8,f#Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
