index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
427,433.0 to 433.5,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K309 iii C major.mid by Mozart.csv
428,434.0 to 434.6666667,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",3,fMinor,Piano Sonata K309 iii C major.mid by Mozart.csv
429,435.0 to 435.5,"[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1]",9,c#Major,Piano Sonata K309 iii C major.mid by Mozart.csv
430,436.0 to 436.5,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
431,437.0 to 437.75,"[2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
432,438.0 to 438.5,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]",5,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
433,439.0 to 439.5,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
434,440.0 to 440.5,"[0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1]",3,c#Major,Piano Sonata K309 iii C major.mid by Mozart.csv
435,441.0 to 441.5,"[0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0]",4,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
436,442.0 to 442.875,"[0, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0]",3,fMinor,Piano Sonata K309 iii C major.mid by Mozart.csv
437,443.0 to 443.5,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
438,444.0 to 444.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
439,445.0 to 445.875,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1]",8,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
440,446.0 to 446.875,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
441,447.0 to 447.875,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1]",8,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
442,448.0 to 448.875,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
443,449.0 to 449.875,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1]",8,cMajor,Piano Sonata K309 iii C major.mid by Mozart.csv
