index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
72,73.0 to 73.5,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",9,c#Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
73,74.0 to 74.875,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
74,75.0 to 75.75,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",8,bMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
75,76.0 to 76.75,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",2,fMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
76,77.0 to 77.75,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
77,78.0 to 78.5,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",9,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
78,79.0 to 79.5,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",9,e-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
79,80.0 to 80.875,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",1,eMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
80,81.0 to 81.75,"[0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 2]",4,b-Major,Piano Sonata K494 ii Bb major.mid by Mozart.csv
81,82.0 to 82.75,"[0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
82,83.0 to 83.75,"[0, 0, 2, 0, 0, 2, 0, 1, 1, 0, 0, 2]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
83,84.0 to 84.75,"[3, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]",5,g#Minor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
84,85.0 to 85.75,"[4, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]",5,g#Minor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
85,86.0 to 86.75,"[3, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0]",0,g#Minor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
86,87.0 to 87.75,"[0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0]",6,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
87,88.0 to 88.75,"[0, 2, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0]",6,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
88,89.0 to 89.75,"[0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0]",6,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
