index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
29,32.0 to 32.875,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
30,33.0 to 33.0,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,b-Major,Piano Sonata K332 i F major.mid by Mozart.csv
31,34.0 to 34.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,c#Major,Piano Sonata K332 i F major.mid by Mozart.csv
32,35.0 to 35.0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
33,36.0 to 36.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
34,38.0 to 38.75,"[0, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
35,39.0 to 39.0,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
36,40.0 to 40.0,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
37,41.0 to 41.75,"[1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
38,42.0 to 42.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
39,43.0 to 43.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
40,44.0 to 44.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
41,45.0 to 45.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
42,46.0 to 46.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
43,47.0 to 47.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
44,48.0 to 48.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
45,49.0 to 49.0,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
46,50.0 to 50.75,"[0, 0, 1, 0, 1, 2, 0, 2, 0, 1, 0, 0]",1,fMinor,Piano Sonata K332 i F major.mid by Mozart.csv
47,51.0 to 51.0,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
48,52.0 to 52.0,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
49,53.0 to 53.75,"[1, 0, 2, 0, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
50,54.0 to 54.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
51,55.0 to 55.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
52,56.0 to 56.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
53,57.0 to 57.0,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
54,58.0 to 58.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,c#Major,Piano Sonata K332 i F major.mid by Mozart.csv
55,59.0 to 59.0,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
56,60.0 to 60.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
57,62.0 to 62.0,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
58,63.0 to 63.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
59,65.0 to 65.0,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
60,66.0 to 66.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
61,68.0 to 68.0,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]",2,c#Major,Piano Sonata K332 i F major.mid by Mozart.csv
62,69.0 to 69.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]",7,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
63,70.0 to 70.75,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
64,71.0 to 71.75,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",8,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
65,72.0 to 72.75,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",7,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
66,73.0 to 73.5,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
67,74.0 to 74.875,"[2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
68,75.0 to 75.625,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",5,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv
69,76.0 to 76.75,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
70,77.0 to 77.75,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",7,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv
71,78.0 to 78.625,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",5,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv
72,79.0 to 79.75,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
73,80.0 to 80.75,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",7,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv
74,81.0 to 81.5,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",7,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
75,82.0 to 82.75,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",8,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
76,83.0 to 83.75,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",8,aMajor,Piano Sonata K332 i F major.mid by Mozart.csv
77,84.0 to 84.75,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
78,85.0 to 85.5,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0]",8,aMajor,Piano Sonata K332 i F major.mid by Mozart.csv
79,86.0 to 86.5,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",7,cMinor,Piano Sonata K332 i F major.mid by Mozart.csv
80,87.0 to 87.625,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
81,88.0 to 88.75,"[2, 0, 1, 2, 0, 0, 2, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
82,89.0 to 89.75,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
83,90.0 to 90.625,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
84,91.0 to 91.75,"[2, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0]",0,g#Major,Piano Sonata K332 i F major.mid by Mozart.csv
85,92.0 to 92.75,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
86,93.0 to 93.875,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",9,b-Minor,Piano Sonata K332 i F major.mid by Mozart.csv
87,94.0 to 94.75,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
88,95.0 to 95.75,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,b-Minor,Piano Sonata K332 i F major.mid by Mozart.csv
89,96.0 to 96.75,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]",6,b-Major,Piano Sonata K332 i F major.mid by Mozart.csv
90,97.0 to 97.625,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
91,98.0 to 98.5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
92,99.0 to 99.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
93,100.0 to 100.75,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
94,101.0 to 101.75,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
95,102.0 to 102.75,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
96,103.0 to 103.625,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
97,104.0 to 104.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",2,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
98,105.0 to 105.875,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]",4,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
99,106.0 to 106.75,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
100,107.0 to 107.75,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
101,108.0 to 108.75,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
102,109.0 to 109.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
103,110.0 to 110.875,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
104,111.0 to 111.5,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
105,112.0 to 112.75,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
106,113.0 to 113.75,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
107,114.0 to 114.5,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
108,115.0 to 115.75,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
109,116.0 to 116.75,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv
110,117.0 to 117.0,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
111,118.5 to 118.75,"[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",6,g#Major,Piano Sonata K332 i F major.mid by Mozart.csv
112,119.0 to 119.75,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]",9,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv
113,120.0 to 120.0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
114,121.0 to 121.0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
115,122.6666667 to 122.875,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
116,123.0 to 123.25,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
117,124.0 to 124.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5,eMajor,Piano Sonata K332 i F major.mid by Mozart.csv
118,125.0 to 125.875,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
119,126.0 to 126.875,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
120,127.5 to 127.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
121,128.0 to 128.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
122,129.0 to 129.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
123,130.0 to 130.875,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
124,131.0 to 131.875,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
125,132.0 to 132.875,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
126,133.0 to 133.75,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",9,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv
127,134.0 to 134.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv
128,135.0 to 135.0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv
