index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
51,59.0 to 59.75,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
52,60.0 to 60.75,"[1, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
53,61.0 to 61.83333333,"[2, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
54,62.0 to 62.875,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
55,63.0 to 63.75,"[2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
56,64.0 to 64.625,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
57,65.125 to 65.66666667,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
58,66.25 to 66.875,"[1, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
59,67.0 to 67.83333333,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
60,68.0 to 68.625,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
61,69.0 to 69.625,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
62,70.0 to 70.625,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
63,71.0 to 71.625,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
64,72.0 to 72.625,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
65,73.0 to 73.625,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
66,74.0 to 74.66666667,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
67,75.0 to 75.5,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",7,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
68,76.0 to 76.75,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
69,77.0 to 77.625,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
70,78.0 to 78.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,b-Minor,Piano Sonata K311 i D major.mid by Mozart.csv
71,79.0 to 79.75,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
72,80.0 to 80.5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
73,81.0 to 81.83333333,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
74,82.0 to 82.5,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
75,83.0 to 83.5,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
76,84.0 to 84.75,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
77,85.0 to 85.875,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2,aMajor,Piano Sonata K311 i D major.mid by Mozart.csv
78,86.0 to 86.625,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
79,87.0 to 87.875,"[0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
80,88.0 to 88.83333333,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
81,89.0 to 89.875,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
82,90.0 to 90.625,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
83,91.0 to 91.75,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
84,92.0 to 92.75,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
85,93.0 to 93.875,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
86,94.0 to 94.875,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
87,95.0 to 95.875,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
88,96.0 to 96.75,"[0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
89,97.0 to 97.83333333,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
90,98.0 to 98.83333333,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
91,99.0 to 99.83333333,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
92,100.0 to 100.75,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
93,101.0 to 101.8333333,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
94,102.0 to 102.75,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
95,103.0 to 103.75,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
96,104.0 to 104.75,"[0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
97,105.0 to 105.8333333,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
98,106.0 to 106.75,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
99,107.0 to 107.75,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
100,108.0 to 108.75,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
101,109.0 to 109.8333333,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
102,110.0 to 110.75,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
103,111.0 to 111.75,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
104,112.0 to 112.3333333,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
105,113.0 to 113.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
106,114.0 to 114.75,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
107,115.0 to 115.75,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
108,116.0 to 116.875,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
109,117.0 to 117.8333333,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
110,118.0 to 118.8333333,"[1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]",1,e-Minor,Piano Sonata K311 i D major.mid by Mozart.csv
111,119.0 to 119.8333333,"[1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
112,120.0 to 120.8333333,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
113,121.0 to 121.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
114,122.0 to 122.75,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
115,123.0 to 123.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
116,124.0 to 124.875,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
117,125.0 to 125.875,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
118,126.0 to 126.75,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
119,127.0 to 127.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",7,dMajor,Piano Sonata K311 i D major.mid by Mozart.csv
120,128.0 to 128.6666667,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
121,129.0 to 129.9166667,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
122,130.0 to 130.75,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
123,131.0 to 131.75,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
124,132.0 to 132.875,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
125,133.0 to 133.8333333,"[1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
126,134.0 to 134.75,"[1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]",1,e-Minor,Piano Sonata K311 i D major.mid by Mozart.csv
127,135.0 to 135.83333330000002,"[1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
128,136.0 to 136.83333330000002,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
129,137.0 to 137.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
130,138.0 to 138.75,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
131,139.0 to 139.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
132,140.0 to 140.75,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
133,141.0 to 141.83333330000005,"[2, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
134,142.0 to 142.875,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
