index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
63,256.0 to 259.75,"[3, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
64,260.0 to 263.75,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
65,264.0 to 267.875,"[3, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0]",3,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
66,268.0 to 271.75,"[4, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0]",8,g#Major,Piano Sonata K284 i D major.mid by Mozart.csv
67,272.0 to 275.75,"[2, 0, 2, 0, 2, 1, 1, 3, 0, 2, 0, 2]",9,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
68,276.0 to 279.875,"[2, 0, 2, 0, 1, 1, 0, 3, 0, 1, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
69,280.0 to 283.75,"[2, 0, 2, 0, 2, 1, 1, 3, 0, 2, 0, 2]",9,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
70,284.0 to 287.875,"[2, 0, 2, 0, 1, 1, 0, 3, 0, 1, 0, 2]",9,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
71,288.0 to 290.5,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
72,292.0 to 295.5,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
73,296.0 to 299.75,"[0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
74,300.0 to 303.625,"[1, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
75,304.0 to 307.75,"[2, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 2]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
76,308.0 to 311.5,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
77,312.0 to 315.75,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]",0,aMajor,Piano Sonata K284 i D major.mid by Mozart.csv
78,316.0 to 319.75,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 1]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
79,320.0 to 323.75,"[2, 0, 2, 0, 2, 0, 1, 1, 1, 1, 0, 2]",2,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
80,324.0 to 327.75,"[3, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2]",7,fMajor,Piano Sonata K284 i D major.mid by Mozart.csv
81,328.0 to 331.75,"[0, 2, 3, 0, 1, 1, 0, 1, 0, 0, 1, 1]",0,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
82,332.0 to 335.75,"[1, 0, 0, 2, 3, 0, 1, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
83,336.0 to 339.75,"[0, 2, 0, 1, 0, 0, 0, 2, 0, 1, 2, 0]",0,e-Major,Piano Sonata K284 i D major.mid by Mozart.csv
84,340.0 to 343.75,"[1, 0, 3, 1, 1, 0, 2, 0, 1, 1, 0, 1]",2,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
85,344.0 to 347.875,"[1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 0, 1]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
86,348.0 to 351.875,"[1, 0, 2, 0, 1, 0, 1, 2, 0, 1, 1, 1]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
87,352.0 to 355.875,"[1, 0, 2, 0, 1, 0, 2, 2, 0, 1, 0, 2]",2,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
88,356.0 to 359.875,"[0, 0, 3, 0, 0, 0, 1, 5, 0, 0, 0, 3]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
89,360.0 to 363.75,"[4, 0, 0, 0, 3, 0, 1, 4, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
90,364.0 to 367.5,"[1, 0, 3, 0, 1, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
91,368.0 to 371.875,"[0, 0, 3, 0, 0, 0, 1, 5, 0, 0, 0, 3]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
92,372.0 to 375.75,"[4, 0, 0, 0, 3, 0, 1, 4, 0, 0, 0, 0]",6,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
93,376.0 to 379.5,"[1, 0, 3, 0, 1, 0, 1, 1, 0, 1, 0, 1]",2,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
94,380.0 to 383.875,"[2, 0, 2, 0, 2, 1, 2, 3, 0, 3, 0, 2]",9,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
95,384.0 to 387.4583333,"[1, 0, 1, 0, 0, 0, 3, 3, 1, 0, 0, 2]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
96,388.0 to 391.5,"[1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K284 i D major.mid by Mozart.csv
97,392.0 to 395.5,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0]",0,f#Major,Piano Sonata K284 i D major.mid by Mozart.csv
98,396.0 to 399.75,"[0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
99,400.0 to 403.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K284 i D major.mid by Mozart.csv
100,404.0 to 407.875,"[2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2]",9,gMinor,Piano Sonata K284 i D major.mid by Mozart.csv
101,408.0 to 410.125,"[1, 0, 4, 0, 0, 0, 1, 4, 0, 1, 0, 1]",4,gMajor,Piano Sonata K284 i D major.mid by Mozart.csv
102,412.0 to 415.75,"[2, 0, 1, 1, 0, 0, 1, 4, 0, 1, 2, 0]",1,e-Major,Piano Sonata K284 i D major.mid by Mozart.csv
